,index,d,ndvi,ls
0,3,2013-01-01,0.8232539602984872,8
1,4,2013-01-01,0.8247430274296598,8
2,5,2013-01-01,0.8213198135045187,8
3,7,2013-01-01,0.6790506861783033,8
4,11,2014-01-01,0.6322223247238421,8
5,13,2014-01-01,0.843385651735557,8
6,18,2014-01-01,0.8407795368162709,8
7,22,2015-01-01,0.700638095028355,8
8,25,2015-01-01,0.8473551614650999,8
9,29,2016-01-01,0.6711616227627593,8
10,31,2016-01-01,0.6536639473701488,8
11,35,2016-01-01,0.8337574499453253,8
12,38,2016-01-01,0.7835377706914055,8
13,41,2016-01-01,0.6385071094069578,8
14,48,2017-01-01,0.7795409320006945,8
15,49,2017-01-01,0.8342570973002208,8
16,51,2017-01-01,0.7717170084566379,8
17,56,2018-01-01,0.3405626671441954,8
18,60,2018-01-01,0.7605120820846731,8
19,62,2018-01-01,0.8211954250918289,8
20,64,2018-01-01,0.7180696929932513,8
21,67,2018-01-01,0.7784807278318094,8
22,68,2018-01-01,0.7409529945597906,8
23,73,2019-01-01,0.8249754230258726,8
24,75,2019-01-01,0.7636492497814729,8
25,76,2019-01-01,0.8141730083622403,8
26,84,2020-01-01,0.7826352569410133,8
27,85,2020-01-01,0.8431634984491146,8
28,89,2020-01-01,0.8214827666186997,8
29,92,2021-01-01,0.06412625218375181,8
30,93,2021-01-01,0.6289154612320887,8
31,96,2021-01-01,0.7039959364656997,8
32,98,2013-01-01,0.8476159083926972,8
33,99,2013-01-01,0.8316047782853871,8
34,100,2013-01-01,0.7930588101197507,8
35,101,2013-01-01,0.8064314010304409,8
36,107,2014-01-01,0.6298202351133965,8
37,110,2014-01-01,0.8674502928565244,8
38,111,2014-01-01,0.8403256162118992,8
39,112,2014-01-01,0.8149112310310409,8
40,113,2014-01-01,0.8048045551962782,8
41,114,2014-01-01,0.7980771333189738,8
42,115,2014-01-01,0.7746784772907028,8
43,118,2015-01-01,0.5826343695418684,8
44,120,2015-01-01,0.7320969772198843,8
45,121,2015-01-01,0.8269470002291919,8
46,123,2015-01-01,0.8316792039924167,8
47,125,2015-01-01,0.8418230128351384,8
48,127,2015-01-01,0.8213700039485584,8
49,128,2016-01-01,0.7285434773359347,8
50,132,2016-01-01,0.7887718838596353,8
51,133,2016-01-01,0.7851510914569282,8
52,138,2016-01-01,0.958277166115349,8
53,140,2017-01-01,0.7387333052357766,8
54,143,2017-01-01,0.7708245259041188,8
55,145,2017-01-01,0.8205780867350132,8
56,146,2017-01-01,0.8151801444441497,8
57,147,2017-01-01,0.8691987714400338,8
58,149,2017-01-01,0.8388622739891045,8
59,151,2017-01-01,0.5790847389200768,8
60,152,2018-01-01,0.5872605484462868,8
61,165,2019-01-01,0.6474061974451608,8
62,167,2019-01-01,0.7714222765515885,8
63,170,2019-01-01,0.8671370287276512,8
64,172,2019-01-01,0.8017709710304541,8
65,174,2019-01-01,0.8099379159610037,8
66,175,2019-01-01,0.6887817990456938,8
67,177,2019-01-01,0.736533034462389,8
68,179,2020-01-01,0.6905304268079051,8
69,180,2020-01-01,0.7330059957764044,8
70,181,2020-01-01,0.7842982720742052,8
71,184,2020-01-01,0.7996627709097639,8
72,186,2020-01-01,0.805844636620635,8
73,190,2021-01-01,0.7003676596087978,8
