"year","n","missing","perc_missing"
1995,8760,933,10.6506849315068
1996,8784,284,3.23315118397086
1997,8760,656,7.48858447488584
1998,8760,1256,14.337899543379
1999,8760,1206,13.7671232876712
2000,8784,265,3.01684881602914
2001,8760,997,11.3812785388128
2002,8760,916,10.4566210045662
2003,8760,7,0.0799086757990868
2004,8784,60,0.683060109289617
2005,8760,109,1.24429223744292
2006,8760,10,0.114155251141553
2007,8760,27,0.308219178082192
2008,8784,8,0.0910746812386157
2009,8760,30,0.342465753424658
2010,8760,313,3.57305936073059
2011,8760,1,0.0114155251141553
2012,8784,121,1.37750455373406
2013,8760,73,0.833333333333333
2014,8760,10,0.114155251141553
2015,8760,108,1.23287671232877
2016,8784,195,2.21994535519126
2017,8760,7,0.0799086757990868
2018,8760,220,2.51141552511416
2019,8760,49,0.559360730593607
